name,actor_credits,total_wins,total_nominations
Viola Davis,98,123,249
Graham Chapman,29,1,1
Alexander Gould,35,3,3
Jake Gyllenhaal,67,37,108
Richard Attenborough,80,32,23
Steve McQueen,44,7,19
James Garner,98,17,37
Ellen DeGeneres,40,101,97
Hugh Jackman,71,36,110
Albert Brooks,41,30,37
Chieko Baishô,165,14,7
Eric Idle,87,2,9
Takuya Kimura,75,5,6
Tatsuya Gashûin,0,0,0
Anne Bancroft,87,17,45
John Hurt,213,22,19
John Cleese,182,16,26
Kit Connor,28,4,12
Pedro Pascal,74,22,43
Lupita Nyong'o,35,118,127
Clark Gable,82,31,5
Robert Cummings,106,7,5
Ray Milland,176,17,2
Masayuki Mori,100,0,0
Machiko Kyô,97,6,1
Vivien Leigh,21,17,1
Thomas Mitchell,114,15,4
John Huston,54,43,68
Faye Dunaway,119,25,47
Ricardo Darín,98,40,41
Soledad Villamil,32,9,8
Pablo Rago,92,1,8
Jason Flemyng,153,2,6
Jason Schwartzman,95,13,26
Rashida Jones,84,8,29
Nick Moran,115,2,2
Dexter Fletcher,114,4,11
Hugo Weaving,105,35,42
Rupert Graves,111,1,1
Natalie Portman,83,96,183
Amy Poehler,98,33,125
Bill Hader,126,37,104
Lewis Black,65,6,9
Frances McDormand,70,144,140
Ewen Bremner,109,3,3
Jonny Lee Miller,60,1,13
Ewan McGregor,103,38,82
Woody Harrelson,117,30,102
Sam Rockwell,121,50,86
Jack Hawkins,94,1,5
Cathy Moriarty,85,4,10
Christopher Walken,144,28,38
Tom Hanks,101,97,210
William H. Macy,154,42,71
Frances McDormand,70,144,140
Tom Hardy,64,23,92
Steve Buscemi,186,31,74
Joel Edgerton,85,25,82
Nick Nolte,117,12,39
Daniel Radcliffe,49,21,71
Rupert Grint,43,4,19
Emma Watson,26,26,71
Bee Vang,7,0,0
Christopher Carley,28,0,0
Hilary Swank,59,60,49
Clint Eastwood,73,168,187
Tom Holland,42,29,41
Benedict Cumberbatch,102,74,166
Noriko Hidaka,228,0,0
Hitoshi Takagi,64,0,0
Chika Sakamoto,231,0,0
Charlize Theron,76,70,150
Nicholas Hoult,63,16,41
Jack Hawkins,94,1,5
Charlton Heston,129,19,20
Stephen Boyd,67,1,3
Bahare Seddiqi,0,0,0
Amir Farrokh Hashemian,1,0,0
Reza Naji,65,0,0
Ryan O'Neal,66,5,14
Marisa Berenson,90,1,3
Chiwetel Ejiofor,64,60,91
Patrick Magee,98,0,0
Michael Kenneth Williams,112,20,31
Michael Fassbender,68,79,159
Rutger Hauer,176,14,6
Ethan Hawke,105,75,171
Sean Young,136,8,7
Julie Delpy,68,29,66
Andrea Eckert,70,0,0
F. Murray Abraham,135,14,19
Ralph Fiennes,98,57,175
Mathieu Amalric,140,22,44
Robert Sean Leonard,44,0,0
Ethan Hawke,105,75,171
Andrew Garfield,40,43,145
Luke Bracey,25,0,0
Sam Worthington,70,6,22
Ben Affleck,87,75,144
Rosamund Pike,67,36,81
