name,actor_credits,total_wins,total_nominations
Bob Gunton,144,2,1
Al Pacino,72,52,128
Tim Robbins,78,37,42
Heath Ledger,23,84,67
Al Pacino,72,52,128
James Caan,137,7,23
Marlon Brando,46,36,39
Aaron Eckhart,61,8,22
Morgan Freeman,152,66,88
Christian Bale,57,84,133
Lee J. Cobb,101,5,10
Henry Fonda,127,37,20
Robert Duvall,147,61,67
Robert De Niro,127,68,176
Martin Balsam,179,3,4
Elijah Wood,128,30,52
Viggo Mortensen,66,45,130
Ian McKellen,138,53,67
Liam Neeson,200,24,52
Ralph Fiennes,98,57,175
John Travolta,97,52,66
Ian McKellen,138,53,67
Eli Wallach,172,8,6
Ben Kingsley,158,49,74
Clint Eastwood,73,168,187
Orlando Bloom,54,29,30
Uma Thurman,76,30,65
Samuel L. Jackson,217,49,100
Lee Van Cleef,173,0,0
Tom Hanks,101,97,210
Viggo Mortensen,66,45,130
Robin Wright,65,18,66
Leonardo DiCaprio,51,110,286
Brad Pitt,96,122,232
Edward Norton,55,48,115
Gary Sinise,56,18,18
Elliot Page,52,48,80
Joseph Gordon-Levitt,101,26,76
Meat Loaf,114,1,4
Mark Hamill,382,29,33
Harrison Ford,86,48,61
Keanu Reeves,119,16,45
Carrie-Anne Moss,83,5,9
Carrie Fisher,95,11,25
Robert De Niro,127,68,176
Ray Liotta,125,10,20
Laurence Fishburne,142,29,80
Joe Pesci,46,34,64
Jack Nicholson,79,90,105
Louise Fletcher,137,13,10
Michael Berryman,114,0,0
Matthew McConaughey,85,50,91
Anne Hathaway,66,69,127
Jessica Chastain,67,109,173
Morgan Freeman,152,66,88
Brad Pitt,96,122,232
Kevin Spacey,93,61,95
James Stewart,100,59,25
Donna Reed,52,8,9
Lionel Barrymore,221,25,1
Keiko Tsushima,102,0,0
Jodie Foster,83,74,85
Toshirô Mifune,186,17,4
Takashi Shimura,343,2,2
Anthony Hopkins,154,74,133
Scott Glenn,103,0,0
Alexandre Rodrigues,29,1,1
Matt Damon,103,40,158
Tom Sizemore,260,18,12
Leandro Firmino,38,3,2
Matheus Nachtergaele,84,39,31
David Morse,104,5,14
Roberto Benigni,40,63,43
Nicoletta Braschi,20,3,12
Michael Clarke Duncan,101,4,16
Giorgio Cantarini,19,1,1
Arnold Schwarzenegger,91,32,39
Edward Furlong,74,4,6
Linda Hamilton,87,17,12
Michael J. Fox,83,37,66
Daveigh Chase,52,3,3
Christopher Lloyd,258,13,17
Lea Thompson,114,5,6
Miyu Irino,207,0,0
Adrien Brody,79,43,83
Suzanne Pleshette,105,4,8
Thomas Kretschmann,148,5,6
Russell Crowe,82,37,85
Frank Finlay,146,3,6
Joaquin Phoenix,59,72,204
Lee Sun-kyun,47,11,9
Connie Nielsen,68,5,12
Song Kang-ho,40,61,67
Cho Yeo-jeong,29,14,22
Anthony Perkins,68,10,7
Janet Leigh,85,10,9
Vera Miles,163,0,0
Matthew Broderick,85,4,19
Jeremy Irons,117,33,39
James Earl Jones,190,31,31
