name,actor_credits,total_wins,total_nominations
Wil Wheaton,149,8,6
Julie Andrews,53,38,58
Joan Allen,50,34,64
Olivia Wilde,69,30,31
Corey Feldman,152,6,5
Eleanor Parker,80,7,9
River Phoenix,26,9,5
Christopher Plummer,219,53,66
Cary-Hiroyuki Tagawa,143,0,0
Richard Gere,66,23,28
Faye Dunaway,119,25,47
Çetin Tekindor,34,3,4
William Holden,75,19,19
Hümeyra,39,4,3
Peter Finch,58,11,7
Fikret Kuskan,61,6,5
Ha Jung-woo,45,24,26
Cho Jin-woong,56,13,18
Kim Min-hee,36,18,23
Carole Lombard,78,11,1
Harry Connick Jr.,39,6,19
Jennifer Aniston,71,45,112
Eli Marienthal,20,3,1
Robert Stack,101,6,4
Jack Benny,60,13,7
Brahim Hadjadj,8,0,0
Yacef Saadi,2,0,0
Jean Martin,110,0,0
Emile Hirsch,76,6,31
Vince Vaughn,83,9,17
John Carradine,353,0,0
Bill Murray,110,54,108
Andie MacDowell,90,8,16
Emilio Echevarría,44,1,3
Chris Elliott,99,7,14
Catherine Keener,87,17,62
Goya Toledo,47,4,5
Jane Darwell,214,0,0
Viola Davis,98,123,249
Emma Stone,57,111,257
Octavia Spencer,144,42,100
Charles Le Clainche,0,0,0
François Leterrier,2,0,0
Miyu Irino,207,0,0
Saori Hayami,453,3,16
Laurence Olivier,88,48,36
Maurice Beerblock,1,0,0
Aoi Yûki,443,2,7
Joan Fontaine,72,18,4
